,Year,Player,League
135,1955,Yogi Berra,AL
136,1955,Roy Campanella,NL
137,1954,Yogi Berra,AL
138,1954,Willie Mays,NL
139,1953,Al Rosen,AL
140,1953,Roy Campanella,NL
141,1952,Bobby Shantz,AL
142,1952,Hank Sauer,NL
143,1951,Yogi Berra,AL
144,1951,Roy Campanella,NL
145,1950,Phil Rizzuto,AL
146,1950,Jim Konstanty,NL
147,1949,Ted Williams,AL
148,1949,Jackie Robinson,NL
149,1948,Lou Boudreau,AL
150,1948,Stan Musial,NL
151,1947,Joe DiMaggio,AL
152,1947,Bob Elliott,NL
153,1946,Ted Williams,AL
154,1946,Stan Musial,NL
155,1945,Hal Newhouser,AL
156,1945,Phil Cavarretta,NL
157,1944,Hal Newhouser,AL
158,1944,Marty Marion,NL
159,1943,Spud Chandler,AL
160,1943,Stan Musial,NL
161,1942,Joe Gordon,AL
162,1942,Mort Cooper,NL
163,1941,Joe DiMaggio,AL
164,1941,Dolph Camilli,NL
165,1940,Hank Greenberg,AL
166,1940,Frank McCormick,NL
167,1939,Joe DiMaggio,AL
168,1939,Bucky Walters,NL
169,1938,Jimmie Foxx,AL
170,1938,Ernie Lombardi,NL
171,1937,Charlie Gehringer,AL
172,1937,Joe Medwick,NL
173,1936,Lou Gehrig,AL
174,1936,Carl Hubbell,NL
175,1935,Hank Greenberg,AL
176,1935,Gabby Hartnett,NL
177,1934,Mickey Cochrane,AL
178,1934,Dizzy Dean,NL
179,1933,Jimmie Foxx,AL
180,1933,Carl Hubbell,NL
181,1932,Jimmie Foxx,AL
182,1932,Chuck Klein,NL
183,1931,Lefty Grove,AL
184,1931,Frankie Frisch,NL
185,1929,Rogers Hornsby,NL
186,1928,Mickey Cochrane,AL
187,1928,Jim Bottomley,NL
188,1927,Lou Gehrig,AL
189,1927,Paul Waner,NL
190,1926,George Burns,AL
191,1926,Bob O'Farrell,NL
192,1925,Roger Peckinpaugh,AL
193,1925,Rogers Hornsby,NL
194,1924,Walter Johnson,AL
195,1924,Dazzy Vance,NL
196,1923,Babe Ruth,AL
197,1922,George Sisler,AL
198,1914,Eddie Collins,AL
199,1914,Johnny Evers,NL
200,1913,Walter Johnson,AL
201,1913,Jake Daubert,NL
202,1912,Tris Speaker,AL
203,1912,Larry Doyle,NL
204,1911,Ty Cobb,AL
205,1911,Frank Schulte,NL
