,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Vinnie ChulkP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/28/2007
['Jack TaschnerP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/28/2007
['Mark SweeneyPH'],San Francisco Giants,1,0,1,1,0,0,1,.228,.344,.405,.749,8,5,0.470,5.40,0.470,0.000,0.01%,0.27,1.2,,,2B,7/28/2007
['Fred LewisPR'],San Francisco Giants,0,1,0,0,0,0,0,.274,.355,.400,.755,,,0.000,,0.000,0.000,0%,,0.0,,,,7/28/2007
Team Totals,San Francisco Giants,32,4,9,3,6,2,39,.281,.395,.375,.770,151,88,0.394,1.83,1.446,-1.052,0.01%,0.09,0.4,27,7,,7/28/2007
['Skip SchumakerCF'],St. Louis Cardinals,5,0,1,0,0,0,5,.305,.363,.417,.780,14,12,-0.056,0.73,0.018,-0.074,-0.03%,0.55,-0.7,1,0,,9/5/2008
['Troy Glaus3B'],St. Louis Cardinals,5,0,1,0,0,1,5,.271,.372,.476,.848,14,10,-0.036,0.80,0.042,-0.079,-0.02%,0.60,-0.4,0,2,,9/5/2008
['Albert Pujols1B'],St. Louis Cardinals,5,1,2,0,0,0,5,.360,.468,.642,1.110,16,9,0.029,1.22,0.131,-0.102,0.01%,0.92,0.1,15,1,2·2B,9/5/2008
['Rick AnkielLF'],St. Louis Cardinals,4,0,0,0,0,0,4,.264,.336,.510,.846,10,7,-0.212,1.56,0.000,-0.212,-0.10%,1.18,-1.4,3,0,GDP,9/5/2008
['Ryan LudwickRF'],St. Louis Cardinals,4,0,0,0,0,1,4,.298,.374,.589,.963,22,16,-0.149,1.40,0.000,-0.149,-0.07%,1.05,-0.9,1,0,,9/5/2008
['Ryan FranklinP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,0,,9/5/2008
['Ron VilloneP'],St. Louis Cardinals,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/5/2008
['Jason MotteP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/5/2008
['Adam Kennedy2B'],St. Louis Cardinals,3,0,1,1,0,0,3,.273,.313,.334,.648,19,11,0.167,1.26,0.205,-0.038,0.07%,0.95,0.6,0,4,,9/5/2008
['Josh PhelpsPH'],St. Louis Cardinals,1,0,1,0,0,0,1,.273,.273,.273,.545,2,2,0.074,2.26,0.074,0.000,0.03%,1.70,0.4,,,,9/5/2008
['Brendan RyanPR-2B'],St. Louis Cardinals,0,0,0,0,0,0,0,.242,.299,.286,.585,,,,,,,,,,1,0,,9/5/2008
['Yadier MolinaC'],St. Louis Cardinals,3,0,1,0,0,0,4,.307,.350,.398,.747,9,7,-0.060,1.23,0.000,-0.060,-0.03%,0.93,-0.6,8,1,SH,9/5/2008
['Braden LooperP'],St. Louis Cardinals,2,0,0,0,0,1,2,.259,.310,.315,.625,7,6,-0.059,1.16,0.000,-0.059,-0.03%,0.87,-0.5,0,0,,9/5/2008
['Russ SpringerP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,9/5/2008
['Aaron MilesPH'],St. Louis Cardinals,1,0,0,0,0,0,1,.318,.356,.391,.748,1,1,-0.014,0.53,0.000,-0.014,-0.01%,0.40,-0.2,,,,9/5/2008
['Chris PerezP'],St. Louis Cardinals,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/5/2008
['Felipe LopezRF'],St. Louis Cardinals,1,0,0,0,0,1,1,.258,.326,.354,.681,4,3,-0.091,3.17,0.000,-0.091,-0.04%,2.39,-0.4,1,0,,9/5/2008
['Cesar IzturisSS'],St. Louis Cardinals,4,0,1,0,0,1,4,.251,.315,.299,.613,11,9,-0.136,1.48,0.014,-0.150,-0.06%,1.12,-0.4,2,6,,9/5/2008
Team Totals,St. Louis Cardinals,38,1,8,1,0,5,39,.211,.211,.263,.474,129,93,-0.543,1.24,0.484,-1.028,-0.24%,0.94,-4.5,33,15,,9/5/2008
['Cesar IzturisSS'],St. Louis Cardinals,4,0,0,0,0,0,4,.249,.311,.296,.607,12,9,-0.088,0.90,0.000,-0.088,-0.02%,0.37,-0.8,1,4,,9/6/2008
['Troy Glaus3B'],St. Louis Cardinals,2,1,0,0,2,0,4,.270,.373,.474,.847,16,7,-0.007,0.63,0.035,-0.041,-0.00%,0.26,0.1,2,3,,9/6/2008
['Albert Pujols1B'],St. Louis Cardinals,3,2,1,2,1,0,4,.360,.468,.646,1.114,13,6,0.170,1.10,0.220,-0.051,0.04%,0.46,1.7,9,1,HR,9/6/2008
['Ryan LudwickCF-RF'],St. Louis Cardinals,4,2,2,0,0,1,4,.299,.375,.590,.965,15,10,0.040,0.97,0.072,-0.032,0.01%,0.41,0.5,2,0,2B,9/6/2008
['Yadier MolinaC'],St. Louis Cardinals,3,0,1,1,0,0,4,.307,.350,.397,.747,9,5,0.121,1.09,0.157,-0.035,0.03%,0.45,0.5,9,0,SH,9/6/2008
['Felipe LopezLF'],St. Louis Cardinals,3,0,1,2,0,0,4,.259,.326,.354,.680,14,10,0.102,1.07,0.150,-0.048,0.03%,0.45,0.5,1,0,SF,9/6/2008
['Nick StavinohaRF'],St. Louis Cardinals,2,0,0,0,1,0,3,.194,.231,.222,.453,9,5,-0.033,0.88,0.007,-0.039,-0.01%,0.36,-0.3,1,0,IW,9/6/2008
['Skip SchumakerCF'],St. Louis Cardinals,0,0,0,0,1,0,1,.305,.365,.417,.782,6,2,0.003,0.10,0.003,0.000,0.00%,0.04,0.1,0,0,,9/6/2008
['Todd WellemeyerP'],St. Louis Cardinals,3,0,1,0,0,0,3,.157,.170,.157,.327,12,8,-0.002,1.01,0.046,-0.048,-0.00%,0.42,-0.2,1,0,,9/6/2008
['Josh PhelpsPH'],St. Louis Cardinals,1,0,0,0,0,1,1,.250,.250,.250,.500,6,3,-0.007,0.23,0.000,-0.007,-0.00%,0.10,-0.2,,,,9/6/2008
['Randy FloresP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/6/2008
['Ryan FranklinP'],St. Louis Cardinals,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/6/2008
['Aaron Miles2B'],St. Louis Cardinals,3,0,0,0,0,1,3,.315,.353,.388,.741,11,7,-0.083,1.14,0.000,-0.083,-0.02%,0.47,-0.8,1,3,,9/6/2008
Team Totals,St. Louis Cardinals,28,5,6,5,5,3,35,.214,.324,.357,.681,123,72,0.216,0.93,0.690,-0.472,0.05%,0.38,1.0,27,11,,9/6/2008
['Chone Figgins3B'],Los Angeles Angels of Anaheim,4,3,2,2,1,0,5,.312,.394,.421,.815,19,11,0.157,0.46,0.181,-0.023,0.13%,0.65,2.6,0,1,"HR,3·SB",7/25/2009
['Maicer Izturis2B'],Los Angeles Angels of Anaheim,4,3,2,3,1,0,5,.311,.357,.443,.800,18,9,0.129,0.51,0.146,-0.017,0.11%,0.72,3.1,1,4,"HR,2B",7/25/2009
['Bobby AbreuRF'],Los Angeles Angels of Anaheim,4,1,3,2,1,0,5,.310,.405,.442,.847,19,9,0.087,0.36,0.097,-0.011,0.07%,0.51,2.0,2,0,,7/25/2009
['Kendrys Morales1B'],Los Angeles Angels of Anaheim,4,0,1,2,0,0,5,.290,.342,.537,.879,27,17,0.110,0.55,0.137,-0.028,0.09%,0.77,0.1,9,1,"2B,SF",7/25/2009
['Mike NapoliC'],Los Angeles Angels of Anaheim,5,1,1,0,0,0,5,.282,.368,.512,.881,22,14,0.035,0.39,0.056,-0.022,0.03%,0.54,-0.3,7,0,,7/25/2009
['Erick AybarSS'],Los Angeles Angels of Anaheim,5,0,2,0,0,0,5,.318,.358,.430,.787,17,12,-0.137,0.36,0.005,-0.141,-0.11%,0.50,-1.4,4,2,,7/25/2009
['Howie KendrickDH'],Los Angeles Angels of Anaheim,3,1,2,1,1,0,4,.267,.319,.394,.713,20,12,0.084,0.60,0.111,-0.027,0.07%,0.85,1.8,,,,7/25/2009
['Gary MatthewsCF'],Los Angeles Angels of Anaheim,3,1,0,0,1,1,4,.227,.299,.308,.607,17,9,-0.022,0.49,0.006,-0.028,-0.02%,0.69,-1.2,1,0,,7/25/2009
['Reggie WillitsLF'],Los Angeles Angels of Anaheim,4,1,1,1,0,1,4,.256,.267,.256,.522,21,14,0.055,0.49,0.076,-0.021,0.05%,0.69,-0.1,2,0,,7/25/2009
[''],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,,,7/25/2009
['Matt PalmerP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,1,1,,7/25/2009
['Justin SpeierP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,0,,7/25/2009
['Shane LouxP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,0,,7/25/2009
['Darren OliverP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,0,,7/25/2009
['Robert MosebachP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,0,,7/25/2009
Team Totals,Los Angeles Angels of Anaheim,36,11,14,11,5,2,42,.389,.452,.611,1.063,180,107,0.498,0.47,0.815,-0.318,0.42%,0.66,6.7,27,9,,7/25/2009
['Rafael FurcalSS'],Los Angeles Dodgers,4,1,1,0,1,1,5,.258,.331,.364,.695,25,14,-0.008,0.45,0.033,-0.041,-0.00%,0.19,0.1,1,6,3B,7/26/2009
['Orlando Hudson2B'],Los Angeles Dodgers,4,1,2,0,0,1,5,.294,.359,.440,.800,12,7,-0.004,0.52,0.049,-0.053,-0.00%,0.22,0.0,5,4,"2B,HBP,GDP",7/26/2009
['Andre EthierRF'],Los Angeles Dodgers,4,2,2,1,1,1,5,.272,.358,.507,.865,14,8,-0.043,0.53,0.027,-0.070,-0.01%,0.22,1.3,1,0,,7/26/2009
['James Loney1B'],Los Angeles Dodgers,5,1,3,3,0,0,5,.285,.356,.403,.760,23,12,0.025,0.53,0.063,-0.038,0.01%,0.22,1.4,10,0,"2B,GDP",7/26/2009
['Matt KempCF'],Los Angeles Dodgers,5,0,2,0,0,0,5,.314,.381,.490,.871,23,15,-0.037,0.86,0.048,-0.085,-0.01%,0.36,-0.5,4,0,SB,7/26/2009
['Russell MartinC'],Los Angeles Dodgers,4,1,1,2,0,2,4,.259,.371,.319,.691,14,9,-0.017,0.61,0.039,-0.056,-0.00%,0.26,0.8,5,0,HR,7/26/2009
['Mark Loretta3B'],Los Angeles Dodgers,2,0,0,0,2,0,4,.233,.336,.276,.612,17,5,-0.001,0.56,0.017,-0.019,0%,0.23,0.2,0,2,IW,7/26/2009
['Jason SchmidtP'],Los Angeles Dodgers,1,0,0,0,0,0,1,.000,.000,.000,.000,5,4,-0.048,1.88,0.000,-0.048,-0.01%,0.79,-0.4,0,1,,7/26/2009
['Jeff WeaverP'],Los Angeles Dodgers,0,0,0,0,0,0,1,.333,.333,.333,.667,1,1,-0.004,0.24,0.000,-0.004,-0.00%,0.10,-0.2,0,1,SH,7/26/2009
['Blake DeWittPH'],Los Angeles Dodgers,1,0,1,0,0,0,1,.156,.206,.281,.487,5,2,0.013,0.24,0.013,0.000,0.00%,0.10,0.2,,,2B,7/26/2009
['Claudio VargasP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,7/26/2009
['Casey BlakePH'],Los Angeles Dodgers,1,0,0,0,0,0,1,.274,.355,.464,.819,3,2,-0.004,0.14,0.000,-0.004,-0.00%,0.06,-0.1,,,,7/26/2009
['Ramon TroncosoP'],Los Angeles Dodgers,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/26/2009
['Juan PierreLF'],Los Angeles Dodgers,4,0,1,0,0,1,4,.313,.370,.396,.765,10,8,-0.052,0.66,0.032,-0.084,-0.01%,0.28,-1.1,1,0,CS,7/26/2009
Team Totals,Los Angeles Dodgers,35,6,13,6,4,6,41,.371,.450,.600,1.050,152,87,-0.180,0.60,0.321,-0.502,-0.05%,0.25,1.7,27,15,,7/26/2009
['Tony GwynnCF'],San Diego Padres,4,0,0,0,0,0,4,.271,.346,.345,.691,11,7,-0.035,0.35,0.000,-0.035,0%,0.00,-0.5,6,0,,8/22/2009
['David Eckstein2B'],San Diego Padres,4,0,1,0,0,1,4,.255,.316,.324,.641,14,11,0.006,0.29,0.023,-0.017,0%,0.00,-0.1,3,2,,8/22/2009
['Adrián González1B'],San Diego Padres,3,0,1,0,1,1,4,.272,.402,.556,.958,12,7,0.007,0.41,0.028,-0.021,0%,0.00,0.0,8,0,,8/22/2009
['Chase Headley3B'],San Diego Padres,4,0,1,0,0,1,4,.256,.333,.388,.721,15,10,-0.076,0.53,0.000,-0.076,0%,0.00,-1.2,0,2,"2B,2·GDP",8/22/2009
['Will VenableRF'],San Diego Padres,3,0,1,0,1,0,4,.267,.339,.455,.793,21,9,-0.026,0.35,0.006,-0.033,0%,0.00,-0.1,0,0,2B,8/22/2009
['Kyle BlanksLF'],San Diego Padres,1,0,0,0,2,1,3,.248,.355,.497,.852,19,9,0.006,0.38,0.020,-0.014,0%,0.00,0.2,1,0,,8/22/2009
['Ryan WebbP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/22/2009
['Kevin KouzmanoffPH'],San Diego Padres,1,0,0,0,0,0,1,.259,.299,.420,.719,3,2,-0.001,0.02,0.000,-0.001,0%,0.00,-0.4,,,,8/22/2009
['Henry BlancoC'],San Diego Padres,3,0,0,0,0,1,3,.231,.309,.375,.684,12,7,-0.038,0.50,0.000,-0.038,0%,0.00,-0.8,5,1,,8/22/2009
['Everth CabreraSS'],San Diego Padres,3,0,0,0,0,3,3,.269,.359,.410,.769,14,10,-0.033,0.43,0.000,-0.033,0%,0.00,-0.6,2,2,,8/22/2009
['Kevin CorreiaP'],San Diego Padres,1,0,0,0,0,0,1,.139,.184,.167,.351,3,2,-0.014,0.59,0.000,-0.014,0%,0.00,-0.1,0,1,,8/22/2009
['Joe ThatcherP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/22/2009
['Luis RodriguezPH'],San Diego Padres,1,0,0,0,0,0,1,.215,.323,.280,.602,3,1,-0.010,0.42,0.000,-0.010,0%,0.00,-0.2,,,,8/22/2009
['Luis PerdomoP'],San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/22/2009
['Oscar SalazarLF'],San Diego Padres,1,0,0,0,0,1,1,.333,.361,.544,.905,4,3,-0.001,0.03,0.000,-0.001,0%,0.00,-0.1,2,0,,8/22/2009
Team Totals,San Diego Padres,29,0,4,0,4,9,33,.138,.242,.207,.449,131,78,-0.215,0.39,0.077,-0.293,0.00%,0.00,-4.0,27,8,,8/22/2009
['Eugenio VelezCF-LF'],San Francisco Giants,3,0,0,0,0,0,4,.229,.308,.457,.765,12,10,-0.067,0.80,0.000,-0.067%,-0.04%,0.89,-0.7,1,0,SH,4/24/2010
['Edgar RenteriaSS'],San Francisco Giants,4,0,1,0,0,0,4,.293,.344,.397,.740,14,11,0.025,0.84,0.058,-0.032%,0.02%,0.93,0.3,0,2,,4/24/2010
['Pablo Sandoval3B'],San Francisco Giants,3,0,2,0,1,0,4,.333,.413,.561,.974,14,7,-0.051,1.00,0.056,-0.108%,-0.03%,1.10,0.1,1,5,GDP,4/24/2010
['Aubrey Huff1B'],San Francisco Giants,3,0,0,1,0,0,4,.242,.342,.371,.713,11,9,-0.045,0.93,0.019,-0.064%,-0.03%,1.02,-0.7,8,0,SF,4/24/2010
['Travis Ishikawa1B'],San Francisco Giants,0,0,0,0,0,0,0,.333,.429,1.000,1.429,,,,,,,,,,3,0,,4/24/2010
['Mark DeRosaLF-2B'],San Francisco Giants,2,0,0,0,0,0,4,.255,.364,.362,.725,13,5,-0.012,0.98,0.049,-0.061%,-0.01%,1.08,0.3,1,1,2·HBP,4/24/2010
['Bengie MolinaC'],San Francisco Giants,4,0,1,0,0,0,4,.313,.370,.417,.787,11,8,-0.108,1.06,0.026,-0.133%,-0.07%,1.17,-1.4,9,2,GDP,4/24/2010
['Juan Uribe2B'],San Francisco Giants,1,0,1,0,0,0,1,.310,.373,.483,.856,4,2,0.038,1.22,0.038,0.000%,0.03%,1.34,0.4,1,1,,4/24/2010
['John BowkerLF'],San Francisco Giants,2,0,0,0,0,2,2,.179,.220,.282,.502,9,7,-0.033,0.66,0.000,-0.033%,-0.02%,0.72,-0.2,0,0,,4/24/2010
['Brian WilsonP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,4/24/2010
['Nate SchierholtzRF'],San Francisco Giants,3,1,1,0,0,1,3,.321,.406,.464,.871,11,9,0.060,1.67,0.135,-0.075%,0.04%,1.84,-0.1,3,0,2B,4/24/2010
['Barry ZitoP'],San Francisco Giants,2,0,0,0,0,1,2,.111,.111,.111,.222,9,5,-0.065,1.31,0.000,-0.065%,-0.04%,1.44,-0.6,0,1,,4/24/2010
['Andres TorresPH-CF'],San Francisco Giants,1,1,1,1,0,0,1,.174,.269,.217,.487,4,3,0.153,2.11,0.153,0.000%,0.10%,2.32,0.8,0,0,,4/24/2010
Team Totals,San Francisco Giants,28,2,7,2,1,4,33,.250,.313,.286,.598,112,76,-0.105,1.05,0.534,-0.638%,-0.07%,1.16,-1.8,27,12,,4/24/2010
['Stephen DrewSS'],Arizona Diamondbacks,3,1,0,0,1,2,4,.279,.352,.459,.811,19,11,-0.043,0.90,0.032,-0.075%,0%,0.00,-0.3,2,2,,9/26/2010
['Tony Abreu3B'],Arizona Diamondbacks,4,1,1,2,0,1,4,.243,.255,.333,.589,15,11,0.082,1.06,0.153,-0.072%,0%,0.00,1.2,1,2,HR,9/26/2010
['Kelly Johnson2B'],Arizona Diamondbacks,4,1,2,0,0,2,4,.282,.365,.495,.860,17,10,0.062,0.95,0.093,-0.030%,0%,0.00,0.1,1,2,,9/26/2010
['Chris YoungCF'],Arizona Diamondbacks,4,1,1,2,0,2,4,.260,.343,.460,.803,19,13,0.460,1.57,0.539,-0.079%,0%,0.00,1.2,2,0,HR,9/26/2010
['Miguel MonteroC'],Arizona Diamondbacks,4,1,3,0,0,0,4,.274,.340,.453,.792,24,16,0.320,1.06,0.336,-0.017%,0%,0.00,1.9,7,2,2·3B,9/26/2010
['Brandon Allen1B'],Arizona Diamondbacks,2,0,1,0,2,1,4,.281,.439,.469,.908,19,8,-0.006,1.24,0.091,-0.097%,0%,0.00,0.5,9,0,,9/26/2010
['Cole GillespieLF'],Arizona Diamondbacks,3,0,0,1,0,1,4,.237,.272,.371,.643,11,7,-0.259,1.89,0.000,-0.259%,0%,0.00,-1.8,1,0,SF,9/26/2010
['Gerardo ParraRF'],Arizona Diamondbacks,4,0,0,0,0,3,4,.259,.308,.375,.683,15,13,-0.147,1.41,0.000,-0.147%,0%,0.00,-1.2,4,0,,9/26/2010
['Joe SaundersP'],Arizona Diamondbacks,1,0,0,0,0,1,1,.091,.130,.091,.221,5,4,-0.018,0.72,0.000,-0.018%,0%,0.00,-0.2,0,0,,9/26/2010
['Adam LaRochePH'],Arizona Diamondbacks,1,0,0,0,0,1,1,.261,.321,.466,.787,8,6,-0.036,1.26,0.000,-0.036%,0%,0.00,-0.2,,,,9/26/2010
['Leo RosalesP'],Arizona Diamondbacks,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/26/2010
['Blaine BoyerP'],Arizona Diamondbacks,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,9/26/2010
['Sam DemelP'],Arizona Diamondbacks,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/26/2010
['Augie OjedaPH'],Arizona Diamondbacks,1,0,0,0,0,0,1,.189,.262,.216,.478,3,2,-0.028,1.07,0.000,-0.028%,0%,0.00,-0.2,,,,9/26/2010
['J.C. GutierrezP'],Arizona Diamondbacks,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/26/2010
Team Totals,Arizona Diamondbacks,31,5,8,5,3,14,35,.258,.314,.581,.895,155,101,0.387,1.24,1.244,-0.858%,0.00%,0.00,0.9,27,8,,9/26/2010
['Andres TorresCF'],San Francisco Giants,5,0,1,1,0,1,5,.244,.306,.289,.595,22,14,-0.068,0.56,0.000,-0.069,-1.99%,29.96,0.1,5,,2B,10/28/2010
['Freddy Sanchez2B'],San Francisco Giants,5,0,0,0,0,2,5,.275,.302,.353,.655,21,15,-0.065,0.50,0.000,-0.065,-1.89%,26.66,-1.1,,1,,10/28/2010
['Buster PoseyC'],San Francisco Giants,4,1,1,0,0,2,4,.271,.340,.333,.673,20,13,-0.048,0.54,0.003,-0.051,-1.42%,28.41,-0.4,2,,,10/28/2010
['Pat BurrellLF'],San Francisco Giants,2,0,0,0,1,1,3,.176,.317,.353,.670,17,10,-0.004,0.70,0.030,-0.033,-0.10%,37.18,-0.1,,,,10/28/2010
['Nate SchierholtzRF'],San Francisco Giants,0,1,0,0,1,0,1,.250,.333,.250,.583,4,0,0.005,0.22,0.005,0.000,0.15%,11.68,0.2,4,,,10/28/2010
['Cody RossRF-LF'],San Francisco Giants,2,2,1,0,2,0,4,.317,.404,.732,1.136,20,9,0.043,0.81,0.077,-0.034,1.26%,43.02,0.8,3,,2B,10/28/2010
['Aubrey Huff1B'],San Francisco Giants,3,1,0,1,1,0,4,.283,.353,.304,.657,12,6,-0.040,1.03,0.029,-0.069,-1.17%,54.70,0.3,10,,,10/28/2010
['Juan Uribe3B'],San Francisco Giants,3,1,1,2,1,1,4,.171,.231,.343,.574,16,8,0.035,0.98,0.103,-0.068,1.03%,52.31,1.4,1,2,,10/28/2010
['Edgar RenteriaSS'],San Francisco Giants,4,2,2,3,0,1,4,.240,.296,.360,.656,19,13,0.127,0.65,0.167,-0.040,3.70%,34.39,2.2,2,4,HR,10/28/2010
['Matt CainP'],San Francisco Giants,3,0,1,0,0,1,3,.286,.286,.286,.571,12,8,-0.003,0.63,0.028,-0.031,-0.10%,33.46,-0.2,,,,10/28/2010
